"","tissue","Term_unique","n"
"404","heart","GO:0006954",1
"405","heart","GO:0012501",1
"406","heart","GO:0016021",1
"407","heart","GO:0016192",1
"408","heart","GO:0022414",1
"409","heart","GO:0030154",1
"410","heart","GO:0033644",1
"411","heart","GO:0034330",1
"412","heart","GO:0044172",1
"413","heart","GO:0044220",1
"414","heart","GO:0055085",1
"415","heart","GO:0061024",1
"416","heart","GO:1901135",1
"417","heart","NA",1
"418","juvenile","",1
"419","juvenile","GO:0005975",1
"420","juvenile","GO:0006766",1
"421","juvenile","GO:0006790",1
"422","juvenile","GO:0006914",1
"423","juvenile","GO:0006954",1
"424","juvenile","GO:0012501",1
"425","juvenile","GO:0016021",1
"426","juvenile","GO:0016192",1
"427","juvenile","GO:0022414",1
"428","juvenile","GO:0030154",1
"429","juvenile","GO:0033644",1
"430","juvenile","GO:0034330",1
"431","juvenile","GO:0044172",1
"432","juvenile","GO:0044220",1
"433","juvenile","GO:0055085",1
"434","juvenile","GO:0061024",1
"435","juvenile","GO:1901135",1
"436","juvenile","NA",1
"437","larvae","",1
"438","larvae","GO:0005975",1
"439","larvae","GO:0006766",1
"440","larvae","GO:0006790",1
"441","larvae","GO:0006914",1
"442","larvae","GO:0006954",1
"443","larvae","GO:0012501",1
"444","larvae","GO:0016021",1
"445","larvae","GO:0016192",1
"446","larvae","GO:0022414",1
"447","larvae","GO:0030154",1
"448","larvae","GO:0033644",1
"449","larvae","GO:0034330",1
"450","larvae","GO:0044172",1
"451","larvae","GO:0044220",1
"452","larvae","GO:0055085",1
"453","larvae","GO:0055086",1
"454","larvae","GO:0061024",1
"455","larvae","GO:1901135",1
"456","larvae","NA",1
