"","transcriptome","Term_unique","n_species","n_divided","n_Pgen","Pgen_normalized","normalized","log_scale"
"34","Manila","establishment or maintenance of cell polarity",9,0.00728744939271255,105,0.0059621827267049,1.22227877385772,0.200716963911704
"35","Manila","intracellular protein transport",9,0.00728744939271255,219,0.0124354096871274,0.586024069657812,-0.534394415747274
"36","Manila","DNA recombination",8,0.00647773279352227,124,0.00704105388677531,0.919994776021941,-0.0833872871921933
"37","Manila","DNA replication",8,0.00647773279352227,102,0.00579183464879905,1.11842502183059,0.111921465128573
"38","Manila","circulatory system process",8,0.00647773279352227,189,0.0107319289080688,0.603594456226035,-0.504852736646799
"39","Manila","ribosome biogenesis",8,0.00647773279352227,69,0.00391800579183465,1.65332394531479,0.502787773815584
"40","Manila","carbohydrate metabolic process",7,0.00566801619433198,159,0.00902844812901028,0.627795177348305,-0.465541316431911
"41","Manila","cellular amino acid metabolic process",7,0.00566801619433198,88,0.00499687695190506,1.13431174089069,0.126026071310115
"42","Manila","nucleocytoplasmic transport",7,0.00566801619433198,108,0.00613253080461075,0.924254011096116,-0.0787683413358986
"43","Manila","muscle system process",6,0.0048582995951417,127,0.00721140196468116,0.673696961968823,-0.394974880497529
"44","Manila","protein localization to plasma membrane",6,0.0048582995951417,68,0.00386122309919936,1.25822814955942,0.229704500784956
"45","Manila","telomere organization",6,0.0048582995951417,80,0.00454261541082278,1.06949392712551,0.0671855712871811
"46","Manila","gene silencing by RNA",5,0.00404858299595142,34,0.00193061154959968,2.09704691593236,0.740530124550947
"47","Manila","inflammatory response",5,0.00404858299595142,135,0.00766566350576344,0.528145149197781,-0.638384129271321
"48","Manila","mitochondrion organization",5,0.00404858299595142,168,0.00953949236272784,0.424402352033931,-0.857073330236151
"49","Manila","cellular modified amino acid metabolic process",4,0.00323886639676113,76,0.00431548464028164,0.750522054123162,-0.286986242433433
"50","Manila","sulfur compound metabolic process",4,0.00323886639676113,109,0.00618931349724604,0.523299780856517,-0.647600784376245
"51","Manila","tRNA metabolic process",4,0.00323886639676113,40,0.00227130770541139,1.42599190283401,0.354867643738962
"52","Manila","cytoplasmic translation",3,0.00242914979757085,17,0.000965305774799841,2.51645629911884,0.922851681344901
"53","Manila","meiotic nuclear division",3,0.00242914979757085,79,0.0044858327181875,0.541515912468611,-0.613382827065904
"54","Manila","wound healing",3,0.00242914979757085,97,0.00550792118562262,0.44102842355691,-0.818645953102265
"55","Manila","extracellular matrix organization",2,0.00161943319838057,58,0.00329339617284652,0.49172134580483,-0.709843093253466
"56","Manila","protein folding",2,0.00161943319838057,29,0.00164669808642326,0.983442691609661,-0.016695912693521
"57","Manila","protein maturation",2,0.00161943319838057,107,0.00607574811197547,0.266540542585796,-1.32222891716895
"58","Manila","snRNA metabolic process",2,0.00161943319838057,16,0.000908523082164556,1.78248987854251,0.578011195053172
"59","Manila","NA",1,0.000809716599190283,1,5.67826926352848e-05,14.2599190283401,2.65745273673301
"60","Manila","detoxification",1,0.000809716599190283,18,0.00102208846743513,0.792217723796671,-0.232919021163157
"61","Manila","lysosome organization",1,0.000809716599190283,16,0.000908523082164556,0.891244939271255,-0.115135985506774
"62","Manila","nitrogen cycle metabolic process",1,0.000809716599190283,6,0.000340696155811709,2.37665317139001,0.865693267504953
"63","Manila","protein glycosylation",1,0.000809716599190283,55,0.00312304809494066,0.259271255060729,-1.34988044849946
"64","Manila","renal system process",1,0.000809716599190283,48,0.00272556924649367,0.297081646423752,-1.21374827417488
"65","Manila","respiratory system process",1,0.000809716599190283,17,0.000965305774799841,0.838818766372946,-0.175760607323208
"66","Manila_r","anatomical structure development",149,0.107194244604317,1853,0.105218329453183,1.01877919143369,0.0186050393304472
"67","Manila_r","signaling",126,0.0906474820143885,1603,0.0910226562943615,0.995878231912287,-0.00413028598772707
"68","Manila_r","cell differentiation",96,0.0690647482014388,1281,0.0727386292657998,0.949492022307213,-0.0518281507585503
"69","Manila_r","cytoskeleton organization",68,0.0489208633093525,516,0.0292998693998069,1.66966148011823,0.512620899364892
"70","Manila_r","DNA-templated transcription",60,0.0431654676258993,741,0.042075975242746,1.02589345527626,0.0255638965963616
"71","Manila_r","regulation of DNA-templated transcription",55,0.039568345323741,678,0.0384986656067231,1.02778485176461,0.0274058569624231
"72","Manila_r","reproductive process",55,0.039568345323741,536,0.0304355232525126,1.30007113712015,0.262418983832017
"73","Manila_r","programmed cell death",44,0.0316546762589928,600,0.0340696155811709,0.929117505995204,-0.0735200616275374
"74","Manila_r","immune system process",42,0.0302158273381295,670,0.0380444040656408,0.794225276495222,-0.230388134431296
"75","Manila_r","protein-containing complex assembly",42,0.0302158273381295,444,0.0252115155300664,1.19849309741396,0.181065015521491
"76","Manila_r","cell motility",41,0.0294964028776978,595,0.0337857021179944,0.873043951393507,-0.135769379170974
"77","Manila_r","mitotic cell cycle",36,0.0258992805755396,363,0.0206121174266084,1.25650752125572,0.228336063861607
